"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"04/07/2025","8.650","8.650","8.700","8.550","43,59M","0,58%"
"03/07/2025","8.600","8.700","8.750","8.600","50,37M","-0,86%"
"02/07/2025","8.675","8.575","8.675","8.575","68,55M","-0,29%"
"01/07/2025","8.700","8.750","8.775","8.600","82,39M","0,29%"
"30/06/2025","8.675","8.575","8.825","8.550","185,44M","0,29%"
"26/06/2025","8.650","8.525","8.650","8.525","117,28M","0,58%"
"25/06/2025","8.600","8.725","8.775","8.475","117,56M","-1,99%"
"24/06/2025","8.775","8.725","8.850","8.700","110,16M","1,74%"
"23/06/2025","8.625","8.575","8.700","8.500","87,32M","-0,86%"
"20/06/2025","8.700","8.700","8.875","8.625","445,92M","-0,85%"
"19/06/2025","8.775","8.900","8.925","8.750","78,88M","-1,40%"
"18/06/2025","8.900","8.950","9.025","8.900","86,27M","-1,93%"
"17/06/2025","9.075","8.975","9.100","8.975","54,93M","1,68%"
"16/06/2025","8.925","8.925","9.000","8.900","57,83M","-1,11%"
"13/06/2025","9.025","9.100","9.125","8.975","83,32M","-1,10%"
"12/06/2025","9.125","9.000","9.125","9.000","41,34M","0,83%"
"11/06/2025","9.050","9.100","9.125","9.050","56,63M","-0,55%"
"10/06/2025","9.100","8.975","9.100","8.950","80,41M","1,96%"
"05/06/2025","8.925","9.000","9.050","8.900","95,53M","-0,56%"
