"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"29/06/2025","8.650","8.600","8.825","8.550","430,34M","0,00%"
"22/06/2025","8.650","8.575","8.850","8.475","432,33M","-0,57%"
"15/06/2025","8.700","8.925","9.100","8.625","723,82M","-3,60%"
"08/06/2025","9.025","8.975","9.125","8.950","261,69M","1,12%"
"01/06/2025","8.925","9.025","9.175","8.900","581,63M","-5,05%"
"25/05/2025","9.400","9.600","9.650","9.400","386,79M","-2,84%"
"18/05/2025","9.675","9.275","9.800","9.250","606,25M","4,03%"
"11/05/2025","9.300","9.250","9.400","9.150","313,41M","3,33%"
"04/05/2025","9.000","9.000","9.200","8.925","359,41M","0,28%"
"27/04/2025","8.975","8.750","9.000","8.650","390,37M","4,36%"
"20/04/2025","8.600","8.500","8.850","8.300","391,52M","1,18%"
"13/04/2025","8.500","8.250","8.600","8.250","327,18M","2,72%"
"06/04/2025","8.275","7.400","8.650","7.275","896,59M","-2,65%"
"23/03/2025","8.500","7.825","8.650","7.625","874,23M","7,59%"
"16/03/2025","7.900","8.750","8.775","7.900","1,31B","-9,71%"
"09/03/2025","8.750","8.750","9.175","8.725","489,35M","-1,96%"
"02/03/2025","8.925","8.600","9.200","8.550","652,14M","5,93%"
"23/02/2025","8.425","8.925","9.000","8.425","821,05M","-6,39%"
"16/02/2025","9.000","8.975","9.575","8.925","576,17M","0,28%"
"09/02/2025","8.975","9.025","9.250","8.950","475,28M","-4,01%"
"02/02/2025","9.350","9.400","9.400","8.825","585,92M","-1,06%"
"26/01/2025","9.450","9.150","9.500","9.150","267,63M","1,07%"
"19/01/2025","9.350","9.850","9.875","9.350","599,39M","-5,56%"
"12/01/2025","9.900","9.625","9.925","9.525","384,32M","1,80%"
"05/01/2025","9.725","9.850","9.925","9.525","284,12M","-1,27%"
"29/12/2024","9.850","9.800","9.925","9.650","136,39M","0,51%"
"22/12/2024","9.800","9.700","9.900","9.700","99,72M","1,55%"
"15/12/2024","9.650","10.000","10.125","9.550","438,29M","-3,98%"
"08/12/2024","10.050","10.025","10.425","10.000","283,53M","-0,25%"
"01/12/2024","10.075","10.000","10.350","9.750","476,99M","0,75%"
"24/11/2024","10.000","9.950","10.250","9.900","362,01M","1,52%"
"17/11/2024","9.850","10.075","10.150","9.850","362,35M","-3,19%"
"10/11/2024","10.175","9.800","10.275","9.800","392,00M","0,99%"
"03/11/2024","10.075","10.425","10.575","10.050","373,69M","-3,36%"
"27/10/2024","10.425","10.825","10.825","10.250","348,49M","-3,02%"
"20/10/2024","10.750","10.850","10.850","10.475","300,36M","0,00%"
"13/10/2024","10.750","10.375","10.875","10.375","284,92M","3,61%"
"06/10/2024","10.375","10.350","10.575","10.150","344,04M","-0,95%"
"29/09/2024","10.475","10.475","10.550","10.325","410,62M","-1,64%"
"22/09/2024","10.650","10.725","10.950","10.400","514,10M","-1,16%"
"15/09/2024","10.775","10.450","10.900","10.350","438,25M","3,36%"
"08/09/2024","10.425","10.300","10.500","10.200","296,72M","1,21%"
"01/09/2024","10.300","10.375","10.375","10.125","238,65M","-0,24%"
"25/08/2024","10.325","10.275","10.500","10.175","345,49M","0,00%"
"18/08/2024","10.325","10.325","10.500","10.225","299,47M","0,00%"
"11/08/2024","10.325","10.100","10.325","10.075","217,70M","1,72%"
"04/08/2024","10.150","10.000","10.250","9.875","358,37M","-0,49%"
"28/07/2024","10.200","10.400","10.425","10.175","300,76M","-1,21%"
"21/07/2024","10.325","10.125","10.400","10.075","268,92M","1,98%"
"14/07/2024","10.125","10.050","10.125","9.800","283,80M","0,50%"
"07/07/2024","10.075","10.000","10.225","9.950","332,02M","1,26%"
"30/06/2024","9.950","9.850","10.000","9.825","307,34M","0,25%"
"23/06/2024","9.925","9.600","9.975","9.450","492,86M","3,39%"
"16/06/2024","9.600","9.250","9.675","9.050","349,28M","4,35%"
"09/06/2024","9.200","9.500","9.550","9.100","301,70M","-1,34%"
